kumes_id,tavuk_sayisi,yas_ortalama,asi_durumu,sicaklik,nem_orani,hava_kalitesi_index,yem_turu,yem_miktari_gunluk,su_tuketimi_gunluk,gunluk_olum_sayisi,olur_mu,tarih,saat,gunluk_kumes_log_id
KUMES_3,176,15.441713504299068,Aşısız,33.990776850516696,68.70266834753804,58.244826258410704,Organik,39.08289317129869,53.86077891965906,6,1,2025-04-23,12:00,2025-04-23_KUMES_3
KUMES_1,178,13.752124354807457,Aşılı,25.63938419885118,47.1414404384257,78.1675888926467,Organik,45.57102455663743,89.82195224387574,1,0,2025-09-22,16:00,2025-09-22_KUMES_1
KUMES_3,222,9.051779923474792,Aşısız,17.192894065619278,39.37057269816831,83.0575330903406,Organik,58.83592405685453,66.80051146436821,0,0,2025-08-18,20:00,2025-08-18_KUMES_3
KUMES_7,188,19.74763516350953,Aşılı,35.936883097387366,100.0,47.78912365081943,Organik,56.649907000826985,53.59542968055088,9,1,2025-12-12,20:00,2025-12-12_KUMES_7
KUMES_7,270,15.925763387170786,Aşısız,40.0,91.9606541707705,45.30146398782015,Organik,35.92953456778454,57.02255093021896,2,1,2025-11-20,08:00,2025-11-20_KUMES_7
KUMES_5,236,20.898122394172088,Aşısız,29.86505679775109,89.0391558131572,32.49974467215951,Standart,51.133323363471696,82.27492586212861,6,1,2025-05-01,16:00,2025-05-01_KUMES_5
KUMES_4,279,14.988450818907344,Aşılı,39.26037604043122,76.74199749912187,45.83699398615509,Organik,43.61856865648856,51.56859869574038,3,1,2025-04-15,12:00,2025-04-15_KUMES_4
KUMES_7,198,16.473142913313904,Aşılı,25.41198239904672,36.67192021176501,86.45737850377905,Standart,71.81801905098533,98.90247332170608,2,0,2025-09-27,12:00,2025-09-27_KUMES_7
KUMES_1,112,22.73948915617086,Aşısız,32.47438187811434,89.37823766243572,59.6571724170406,Organik,34.62270249499545,50.0,5,1,2025-03-15,08:00,2025-03-15_KUMES_1
KUMES_4,159,5.580773070806158,Aşılı,30.059854239086636,61.62877693747156,72.45058133820248,Standart,63.49304615032813,117.14547124084925,1,0,2026-07-07,12:00,2026-07-07_KUMES_4
KUMES_1,284,17.69509245681284,Aşısız,39.83861931834204,79.2177983337908,44.34512461978385,Protein Yüksek,35.02663126624198,53.180632787378805,8,1,2026-07-09,20:00,2026-07-09_KUMES_1
KUMES_4,217,19.51563307225707,Aşısız,30.19302210683312,80.50996379628467,47.704081342080485,Standart,44.13435388718093,91.52215415803909,4,1,2025-05-02,20:00,2025-05-02_KUMES_4
KUMES_3,237,14.807265864200328,Aşısız,35.78579679526692,89.56121658752389,36.816625166637465,Protein Yüksek,58.56731604188147,64.22952779099717,5,1,2025-01-31,12:00,2025-01-31_KUMES_3
KUMES_1,114,9.115866883467456,Aşılı,29.0910422265649,49.47989219182955,79.09775402099841,Protein Yüksek,74.10826417836978,88.17448279680261,0,0,2025-11-28,16:00,2025-11-28_KUMES_1
KUMES_1,190,15.735769715709475,Aşılı,20.610830921109223,49.4702172507047,86.84574725035847,Protein Yüksek,64.88077152519897,91.79706651887236,0,0,2025-03-01,08:00,2025-03-01_KUMES_1
KUMES_1,100,19.872863869946524,Aşısız,25.208346217703955,78.00696560897494,52.04861548195761,Protein Yüksek,44.99362246436911,50.0,3,1,2026-05-01,20:00,2026-05-01_KUMES_1
KUMES_8,282,18.94820442720489,Aşısız,37.09832199092697,83.12966371125279,49.80335046953476,Protein Yüksek,39.66293905337477,69.23800834652077,8,1,2026-05-11,16:00,2026-05-11_KUMES_8
KUMES_4,194,16.70386855726568,Aşılı,37.89704905234581,92.87272988001185,40.334450311730805,Organik,44.92177403428397,103.5190906954438,5,1,2025-10-06,12:00,2025-10-06_KUMES_4
KUMES_7,292,24.221336048409853,Aşısız,27.488408613671798,82.01869420734157,44.18289307858422,Organik,44.10403264925162,64.51947538510444,9,1,2025-05-19,20:00,2025-05-19_KUMES_7
KUMES_1,220,14.7422324121311,Aşısız,33.52310257493638,86.0748571833142,45.87715009317764,Protein Yüksek,45.04781118239167,74.55225253090003,5,1,2025-07-15,16:00,2025-07-15_KUMES_1
KUMES_3,163,20.850771581605628,Aşısız,26.50411969727022,95.07856897454911,56.90336340609369,Protein Yüksek,31.794234444141043,50.0,7,1,2026-05-12,20:00,2026-05-12_KUMES_3
KUMES_1,245,10.654373109043007,Aşılı,22.33286094415304,54.33174185984805,90.48401873141628,Standart,62.17470061391776,74.58146884122485,0,0,2026-05-06,20:00,2026-05-06_KUMES_1
KUMES_6,194,5.0,Aşılı,17.62047850864758,46.82296268933192,66.81332771971341,Protein Yüksek,47.08176754764961,118.57398978026905,0,0,2026-06-09,12:00,2026-06-09_KUMES_6
KUMES_4,248,8.61877923550908,Aşılı,24.51139101562081,50.51051506743348,86.24673353698947,Protein Yüksek,56.74633995003534,108.1304502335158,1,0,2025-12-06,08:00,2025-12-06_KUMES_4
KUMES_8,146,10.955519195804124,Aşılı,20.79873146271144,64.37169855304111,69.5077674995298,Protein Yüksek,62.518230146620354,116.84537049824976,0,0,2025-08-10,08:00,2025-08-10_KUMES_8
KUMES_4,211,6.536932314855598,Aşılı,27.49636073273654,49.171000092828415,80.64768789619632,Protein Yüksek,69.42985886626448,75.52171904339922,2,0,2025-05-17,20:00,2025-05-17_KUMES_4
KUMES_9,243,14.208692768338372,Aşısız,27.131243466558487,90.92812234834288,37.74756323362215,Organik,26.292984170270653,65.21591965209493,3,1,2026-05-17,20:00,2026-05-17_KUMES_9
KUMES_3,216,18.422752944704268,Aşısız,36.85694593077572,98.42022750993247,46.456491219296325,Standart,46.072716154076986,50.0,9,1,2025-12-31,12:00,2025-12-31_KUMES_3
KUMES_1,114,11.684333382579856,Aşısız,30.827157804362027,38.959066888294544,86.61236348114859,Protein Yüksek,53.96065908005136,101.53552534466353,1,0,2025-11-12,16:00,2025-11-12_KUMES_1
KUMES_5,276,14.929813983057803,Aşılı,15.093273775879911,53.09083617454457,65.88424314874936,Standart,74.61426118577215,127.33154861940538,2,0,2025-09-16,12:00,2025-09-16_KUMES_5
KUMES_2,256,17.45806073883302,Aşılı,23.880831337204064,46.50369723773278,58.70189816140133,Protein Yüksek,52.16202775124713,90.00640853593262,1,0,2026-02-17,08:00,2026-02-17_KUMES_2
KUMES_10,109,17.313604476556964,Aşısız,24.695745146443315,82.76196948949037,30.0,Standart,25.4282346928406,94.238998709755,8,1,2026-04-10,20:00,2026-04-10_KUMES_10
KUMES_4,111,16.488482238336957,Aşısız,33.840231545664544,82.86103511355681,40.77928114910304,Standart,47.25329831984233,77.51109844065118,4,1,2025-05-21,20:00,2025-05-21_KUMES_4
KUMES_4,179,17.89105219975224,Aşılı,40.0,100.0,44.23143809952945,Organik,30.840382463000218,50.0,2,1,2025-04-03,08:00,2025-04-03_KUMES_4
KUMES_8,242,17.984173208672864,Aşısız,29.006917960524788,79.37794303779737,67.08516680009174,Protein Yüksek,40.92403775777056,50.03063346556112,4,1,2026-04-11,08:00,2026-04-11_KUMES_8
KUMES_1,153,5.40935756253247,Aşılı,19.931593754392647,64.16126282081505,80.5327871056487,Organik,47.82080861468003,136.42770498810685,1,0,2025-11-17,08:00,2025-11-17_KUMES_1
